id,title,claim,Type,url,domain,news_date,true/false,published_paper_urls,published_paper_title,published_paper_authors,published_paper_abstract,published_paper_venue,published_paper_year,Answers,Answers,Answers,Prompt
363,"Arctic ice is not 'making a comeback', longer-term trends show","Arctic ice is 'making a comeback', longer-term trends show.",Claim,https://www.reuters.com/news/article/factcheck-climate-change-arctic/fact-check-arctic-ice-is-not-making-a-comeback-longer-term-trends-show-idUSL2N2XJ0LJ,Environment,27-May-22,FALSE,https://rmets.onlinelibrary.wiley.com/doi/10.1002/wea.3381,How is sea ice in the Arctic and Antarctic changing?,"Dan Jones, Emily Shuckburgh, Ed Hawkins","Sea ice is the frozen portion of the polar oceans1, covering roughly 3 to 6% of the Earth's surface area at any given time (Comiso, 2010). The Earth hosts major sea ice systems at both poles: one in the Arctic Ocean and another in the Southern Ocean around Antarctica, which is referred to here simply as Antarctic sea ice. Ice forms in the local autumn/winter and melts in local spring/summer, driven by exchanges of heat between the sea ice, ocean, and atmosphere. Sea ice is typically bright - snow-covered ice can reflect away more than 80% of incoming solar radiation. As sea ice melts, it exposes the darker (less reflective) water beneath it, and the planet's surface becomes darker and warmer overall. By this mechanism, changes in sea ice can amplify changes in the climate system (e.g. warming leads to melt, exposing darker surfaces, which leads to additional absorption of incoming sunlight and therefore more melt). In addition to its direct relevance for climate, sea ice has a large impact on ocean biology and serves as a home and/or hunting ground for some large animals, such as polar bears in the Arctic Ocean and emperor penguins around Antarctica.",Weather,2018,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?
1130,Comparisons of glacier counts are not a reliable indicator of climate change,Comparisons of glacier counts are a reliable indicator of climate change,Claim,https://www.reuters.com/news/article/factcheck-climate-change/fact-check-comparisons-of-glacier-counts-are-not-a-reliable-indicator-of-climate-change-idUSL1N2RV20T,Environment,4-Nov-21,FALSE,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019EF001470,Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change,"Ben Marzeion, Regine Hock, Brian Anderson, Andrew Bliss, Nicolas Champollion, Koji Fujita, Matthias Huss, Walter W. Immerzeel, Philip Kraaijenbrink, Jan-Hendrik Malles, Fabien Maussion, Valentina Radi?, David R. Rounce, Akiko Sakai, Sarah Shannon, Roderik van de Wal, Harry Zekollari","Glacier mass loss is recognized as a major contributor to current sea level rise. However, large uncertainties remain in projections of glacier mass loss on global and regional scales. We present an ensemble of 288 glacier mass and area change projections for the 21st century based on 11 glacier models using up to 10 general circulation models and four Representative Concentration Pathways (RCPs) as boundary conditions. We partition the total uncertainty into the individual contributions caused by glacier models, general circulation models, RCPs, and natural variability. We find that emission scenario uncertainty is growing throughout the 21st century and is the largest source of uncertainty by 2100. The relative importance of glacier model uncertainty decreases over time, but it is the greatest source of uncertainty until the middle of this century. The projection uncertainty associated with natural variability is small on the global scale but can be large on regional scales. The projected global mass loss by 2100 relative to 2015 (79 ± 56 mm sea level equivalent for RCP2.6, 159 ± 86 mm sea level equivalent for RCP8.5) is lower than, but well within, the uncertainty range of previous projections.",Earth's Future,2020,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?
7205,Scientists Just Found a Serious Flaw in Ocean Temperature Calculations,"Flaws in past ocean temperature estimates suggest ancient seas were cooler than believed, making the current global warming trend more extraordinary.",Claim,https://www.sciencealert.com/ancient-ocean-temperatures-cooler-than-predicted,Environment,27-Oct-17,TRUE,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2001GL012943,"Heat transport, deep waters, and thermal gradients: Coupled simulation of an Eocene greenhouse climate","Matthew Huber, Lisa Cirbus Sloan","For the first time, a coupled general circulation model with interactive and dynamical atmospheric, oceanic, and sea-ice components, is used to simulate an Eocene (?50 Ma) greenhouse climate. We introduce efficient ocean spin-up methods for coupled paleoclimate modeling. Sea surface temperatures (SSTs) and salinities evolve unconstrained, producing the first proxy data-independent estimates for these Eocene climate parameters. Tropical and extratropical model-predicted SSTs are warmer than modern values, by 3 and 5°C, respectively. Salinity-driven deep water formation occurs in the North Atlantic and Tethys. The zonal average overturning circulation is weaker than modern. Eocene ocean heat transport is 0.6 PW less than modern in the Northern Hemisphere and 0.4 PW greater in the Southern Hemisphere. The model-predicted near-modern vertical and meridional Eocene temperature gradients imply that the dominant theory for maintaining low gradientsincreased ocean heat transportis incorrect or incomplete and other mechanisms should be explored.",Geophysical Research Letters,2001,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?
7206,Earth's Sloshing Molten Core Could Give Us Earthquake Warnings 5 Years Ahead,Earth's sloshing molten core could give us earthquake warnings 5 years ahead.,Claim,https://www.sciencealert.com/earth-iron-core-sloshing-could-predict-earthquakes-five-years-ahead,Environment,31-Oct-17,TRUE,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017GL074934,Do weak global stresses synchronize earthquakes?,"R. Bendick, R. Bilham","Insofar as slip in an earthquake is related to the strain accumulated near a fault since a previous earthquake, and this process repeats many times, the earthquake cycle approximates an autonomous oscillator. Its asymmetric slow accumulation of strain and rapid release is quite unlike the harmonic motion of a pendulum and need not be time predictable, but still resembles a class of repeating systems known as integrate-and-fire oscillators, whose behavior has been shown to demonstrate a remarkable ability to synchronize to either external or self-organized forcing. Given sufficient time and even very weak physical coupling, the phases of sets of such oscillators, with similar though not necessarily identical period, approach each other. Topological and time series analyses presented here demonstrate that earthquakes worldwide show evidence of such synchronization. Though numerous studies demonstrate that the composite temporal distribution of major earthquakes in the instrumental record is indistinguishable from random, the additional consideration of event renewal interval serves to identify earthquake groupings suggestive of synchronization that are absent in synthetic catalogs. We envisage the weak forces responsible for clustering originate from lithospheric strain induced by seismicity itself, by finite strains over teleseismic distances, or by other sources of lithospheric loading such as Earth's variable rotation. For example, quasi-periodic maxima in rotational deceleration are accompanied by increased global seismicity at multidecadal intervals.",Geophysical Research Letters,2017,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?
7208,Strange But True: Cargo Ships Are Triggering More Lightning Storms at Sea,Cargo ships are triggering more lightning storms at sea.,Claim,https://www.sciencealert.com/cargo-ships-are-triggering-more-lightning-storms-at-sea,Environment,20-Sep-17,TRUE,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017GL074982,Lightning enhancement over major oceanic shipping lanes,"Joel A. Thornton, Katrina S. Virts, Robert H. Holzworth, Todd P. Mitchell","Using 12 years of high-resolution global lightning stroke data from the World Wide Lightning Location Network (WWLLN), we show that lightning density is enhanced by up to a factor of 2 directly over shipping lanes in the northeastern Indian Ocean and the South China Sea as compared to adjacent areas with similar climatological characteristics. The lightning enhancement is most prominent during the convectively active season, November-April for the Indian Ocean and April-December in the South China Sea, and has been detectable from at least 2005 to the present. We hypothesize that emissions of aerosol particles and precursors by maritime vessel traffic lead to a microphysical enhancement of convection and storm electrification in the region of the shipping lanes. These persistent localized anthropogenic perturbations to otherwise clean regions are a unique opportunity to more thoroughly understand the sensitivity of maritime deep convection and lightning to aerosol particles.",Geophysical Research Letters,2017,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?
7238,Dingoes May Have Actually Migrated to Australia Twice,Dingoes migrated to Australia twice.,Claim,https://www.sciencealert.com/dingoes-might-actually-be-two-populations-not-one,Environment,2-Nov-17,TRUE,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.3487,"Conservation implications for dingoes from the maternal and paternal genome: Multiple populations, dog introgression, and demography","Kylie M. Cairns, Sarah K. Brown, Benjamin N. Sacks, J. William O. Ballard","It is increasingly common for apex predators to face a multitude of complex conservation issues. In Australia, dingoes are the mainland apex predator and play an important role in ecological functioning. Currently, however, they are threatened by hybridization with modern domestic dogs in the wild. As a consequence, we explore how increasing our understanding of the evolutionary history of dingoes can inform management and conservation decisions. Previous research on whole mitochondrial genome and nuclear data from five geographical populations showed evidence of two distinct lineages of dingo. Here, we present data from a broader survey of dingoes around Australia using both mitochondrial and Y chromosome markers and investigate the timing of demographic expansions. Biogeographic data corroborate the presence of at least two geographically subdivided genetic populations, southeastern and northwestern. Demographic modeling suggests that dingoes have undergone population expansion in the last 5,000 years. It is not clear whether this stems from expansion into vacant niches after the extinction of thylacines on the mainland or indicates the arrival date of dingoes. Male dispersal is much more common than female, evidenced by more diffuse Y haplogroup distributions. There is also evidence of likely historical male biased introgression from domestic dogs into dingoes, predominately within southeastern Australia. These findings have critical practical implications for the management and conservation of dingoes in Australia; particularly a focus must be placed upon the threatened southeastern dingo population.",Ecology and Evolution,2017,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?
7245,"99% of Ocean Plastic Waste Is Invisible, But This Method Could Help Find It",A method to detect 99% of ocean plastic waste has been proposed.,Claim,https://www.sciencealert.com/missing-99-percent-ocean-microplastic-detection-method,Environment,24-Nov-17,TRUE,https://pubs.acs.org/doi/10.1021/acs.est.7b04512,"Lost, but Found with Nile Red: A Novel Method for Detecting and Quantifying Small Microplastics (1 mm to 20 ?m) in Environmental Samples","Gabriel Erni-Cassola, Matthew I. Gibson, Richard C. Thompson, and Joseph A. Christie-Oleza","Marine plastic debris is a global environmental problem. Surveys have shown that <5 mm plastic particles, known as microplastics, are significantly more abundant in surface seawater and on shorelines than larger plastic particles are. Nevertheless, quantification of microplastics in the environment is hampered by a lack of adequate high-throughput methods for distinguishing and quantifying smaller size fractions (<1 mm), and this has probably resulted in an underestimation of actual microplastic concentrations. Here we present a protocol that allows high-throughput detection and automated quantification of small microplastic particles (20-1000 ?m) using the dye Nile red, fluorescence microscopy, and image analysis software. This protocol has proven to be highly effective in the quantification of small polyethylene, polypropylene, polystyrene, and nylon-6 particles, which frequently occur in the water column. Our preliminary results from sea surface tows show a power-law increase in small microplastics (i.e., <1 mm) with a decreasing particle size. Hence, our data help to resolve speculation about the apparent loss of this fraction from surface waters. We consider that this method presents a step change in the ability to detect small microplastics by substituting the subjectivity of human visual sorting with a sensitive and semiautomated procedure.",Environmental Science & Technology,2017,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?
7246,"Marine Ecosystems Can Survive The Worst Mass Extinction Events, Study Shows",Marine ecosystems can survive mass extinction events.,Claim,https://www.sciencealert.com/marine-ecosystems-cling-on-to-life-through-some-of-the-worst-mass-extinction-events,Environment,23-Oct-17,TRUE,https://onlinelibrary.wiley.com/doi/full/10.1111/pala.12332,Impact of the Late Triassic mass extinction on functional diversity and composition of marine ecosystems,"Alexander M. Dunhill, William J. Foster, James Sciberras, Richard J. Twitchett","Mass extinctions have profoundly influenced the history of life, not only through the death of species but also through changes in ecosystem function and structure. Importantly, these events allow us the opportunity to study ecological dynamics under levels of environmental stress for which there are no recent analogues. Here, we examine the impact and selectivity of the Late Triassic mass extinction event on the functional diversity and functional composition of the global marine ecosystem, and test whether post-extinction communities in the Early Jurassic represent a regime shift away from pre-extinction communities in the Late Triassic. Our analyses show that, despite severe taxonomic losses, there is no unequivocal loss of global functional diversity associated with the extinction. Even though no functional groups were lost, the extinction event was, however, highly selective against some modes of life, in particular sessile suspension feeders. Although taxa with heavily calcified skeletons suffered higher extinction than other taxa, lightly calcified taxa also appear to have been selected against. The extinction appears to have invigorated the already ongoing faunal turnover associated with the Mesozoic Marine Revolution. The ecological effects of the Late Triassic mass extinction were preferentially felt in the tropical latitudes, especially amongst reefs, and it took until the Middle Jurassic for reef ecosystems to fully recover to pre-extinction levels.",Palaeontology,2017,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?
50,Targeting cancer cells with resonant frequencies has not been shown to 'cure' cancer,Targeting cancer cells with resonant frequencies has been shown to 'cure' cancer.,Claim,https://www.reuters.com/news/article/factcheck-cancer-resonant-frequencies/fact-check-targeting-cancer-cells-with-resonant-frequencies-has-not-been-shown-to-cure-cancer-idUSL1N3012LG,Health,26-Aug-22,FALSE,https://www.tandfonline.com/doi/full/10.3109/21678421.2013.850802,ALSUntangled No. 23: The Rife Machine and retroviruses,The ALSUntangled Group,"In the 1920s and 1930s, Royal Raymond Rife developed special microscopes. Using these he claimed he could visualize living microorganisms, including viruses too small to be seen with any other existing technology, via the color of auras emitted as they vibrated (Citation1). In a 1961 deposition he explained this as follows: A special risley prism which works on a counter rotation principle selects a portion of the light frequency which illuminates these viruses in their own characteristic chemical colors by emission of coordinative light frequency and the viruses become readily identifiable by the colors revealed on observation. (Citation2). Several of his microscopes still exist. Their principles and alleged function have never been validated, and they have never been adopted for use. Rife went on to postulate that the microorganisms he was seeing were involved in human diseases, including cancer (Citation3-6). He invented a machine that he claimed could transmit radio frequency energy into a person and vibrate these microorganisms at a mortal oscillatory rate, thereby killing them and improving the disease they were causing (Citation3-6). Rife's claims were based upon his microscopic evaluations, which again do not appear to be legitimate. The very concept that diseases can be cured by radio frequency energy, originally proposed by Albert Abrams and referred to as 'radionics' (Citation7), was later investigated and disproven by the Scientific American (Citation7,Citation8). Nonetheless, there remain those who believe in Rife's work, claim it was suppressed as part of an elaborate conspiracy (Citation9) and continue to sell similar energy-transmitting devices (Citation10-12). Here, on behalf of PALS who asked about it, we review the potential use of the Rife Machine for ALS.",Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2013,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?
132,Updated CDC guidance on monkeypox transmission still includes 'respiratory transmission',Updated CDC guidance on monkeypox transmission still includes 'respiratory transmission'.,Claim,https://www.reuters.com/news/article/factcheck-monkeypox-airborne-respiratory/fact-check-updated-cdc-guidance-on-monkeypox-transmission-still-includes-respiratory-transmission-idUSL1N2ZH1VA,Health,5-Aug-22,TRUE,https://www.pnas.org/doi/10.1073/pnas.0706849105,Modeling targeted layered containment of an influenza pandemic in the United States,"M. Elizabeth Halloran, Neil M. Ferguson, Stephen Eubank, and Philip Cooley","Planning a response to an outbreak of a pandemic strain of influenza is a high public health priority. Three research groups using different individual-based, stochastic simulation models have examined the consequences of intervention strategies chosen in consultation with U.S. public health workers. The first goal is to simulate the effectiveness of a set of potentially feasible intervention strategies. Combinations called targeted layered containment (TLC) of influenza antiviral treatment and prophylaxis and nonpharmaceutical interventions of quarantine, isolation, school closure, community social distancing, and workplace social distancing are considered. The second goal is to examine the robustness of the results to model assumptions. The comparisons focus on a pandemic outbreak in a population similar to that of Chicago, with ?8.6 million people. The simulations suggest that at the expected transmissibility of a pandemic strain, timely implementation of a combination of targeted household antiviral prophylaxis, and social distancing measures could substantially lower the illness attack rate before a highly efficacious vaccine could become available. Timely initiation of measures and school closure play important roles. Because of the current lack of data on which to base such models, further field research is recommended to learn more about the sources of transmission and the effectiveness of social distancing measures in reducing influenza transmission.",PNAS,2008,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?
