id,title,claim,Type,url,domain,news_date,true/false,published_paper_urls,published_paper_title,published_paper_authors,published_paper_abstract,published_paper_venue,published_paper_year,Answers,Answers,Answers,Prompt,rationale
367,Mass bleaching events in the Great Barrier Reef kill coral and risk the future of the reef,Mass bleaching events in the Great Barrier Reef kill coral and risk the future of the reef.,Claim,https://www.reuters.com/news/article/factcheck-environment-oceans/fact-check-mass-bleaching-events-in-the-great-barrier-reef-kill-coral-and-risk-the-future-of-the-reef-idUSL2N2XI1NV,Nature,26-May-22,TRUE,https://doi.org/10.1016/j.cub.2021.10.046,Emergent properties in the responses of tropical corals to recurrent climate extremes,"Terry P. Hughes, James T. Kerry, Sean R. Connolly, Jorge G. √Ålvarez-Romero, C. Mark Eakin, Scott F. Heron, Migdonio A. Gonzalez, Joanne Moneghetti","The frequency, intensity, and spatial scale of climate extremes are changing rapidly due to anthropogenic global warming.1,2 A growing research challenge is to understand how multiple climate-driven disturbances interact with each other over multi-decadal time frames, generating combined effects that cannot be predicted from single events alone.3, 4, 5 Here we examine the emergent dynamics of five coral bleaching events along the 2,300 km length of the Great Barrier Reef that affected >98% of the Reef between 1998 and 2020. We show that the bleaching responses of corals to a given level of heat exposure differed in each event and were strongly influenced by contingency and the spatial overlap and strength of interactions between events. Naive regions that escaped bleaching for a decade or longer were the most susceptible to bouts of heat exposure. Conversely, when pairs of successive bleaching episodes were close together (1-3 years apart), the thermal threshold for severe bleaching increased because the earlier event hardened regions of the Great Barrier Reef to further impacts. In the near future, the biological responses to recurrent bleaching events may become stronger as the cumulative geographic footprint expands further, potentially impairing the stock-recruitment relationships among lightly and severely bleached reefs with diverse recent histories. Understanding the emergent properties and collective dynamics of recurrent disturbances will be critical for predicting spatial refuges and cumulative ecological responses, and for managing the longer-term impacts of anthropogenic climate change on ecosystems.",Current Biology,2021,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,"Step 1: Read the whole abstract and extract information relevant to the question. The abstract discusses the changing frequency, intensity, and spatial scale of climate extremes due to anthropogenic global warming. It emphasizes the need to understand how multiple climate-driven disturbances interact with each other over multi-decadal time frames and examines the emergent dynamics of five coral bleaching events along the Great Barrier Reef from 1998 to 2020. The study shows that corals' bleaching responses varied in each event and were influenced by contingency and the spatial overlap and strength of interactions between events. The text also highlights the susceptibility of naive regions to bouts of heat exposure and the impact of recurrent bleaching events on the stock-recruitment relationships among reefs. Understanding these emergent properties and collective dynamics of recurrent disturbances is deemed critical for predicting spatial refuges and cumulative ecological responses and for managing the longer-term impacts of anthropogenic climate change on ecosystems.
Step 2: Identify the relevant statement: “We show that the bleaching responses of corals to a given level of heat exposure differed in each event and were strongly influenced by contingency and the spatial overlap and strength of interactions between events.""
Step 3: Give reasoning to rationalize your decision: The timing and spatial overlap of successive bleaching episodes affected the coral reef's resilience to heat exposure. These findings emphasize the importance of understanding cumulative impacts and emergent dynamics in predicting ecological responses and managing the long-term effects of climate change on ecosystems like coral reefs.
Step 4: Conclusion: The abstract supports the claim in the scientific news. The rationale in this sentence is: “We show that the bleaching responses of corals to a given level of heat exposure differed in each event and were strongly influenced by contingency and the spatial overlap and strength of interactions between events."""
1133,Statue of Liberty photos do not prove sea level rise is a myth,Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.,Claim,https://www.reuters.com/news/article/factcheck-statue-of-liberty-sea-level/fact-check-statue-of-liberty-photos-do-not-prove-sea-level-rise-is-a-myth-idUSL1N2RV1SK,Nature,4-Nov-21,FALSE,https://link.springer.com/chapter/10.1007/978-3-319-53742-9_13,Coping with Higher Sea Levels and Increased Coastal Flooding in New York City,"Vivien Gornitz, Radley Horton, Daniel A. Bader, Philip Orton & Cynthia Rosenzweig","The 837 km New York City shoreline is lined by significant economic assets and dense population vulnerable to sea level rise and coastal flooding. After Hurricane Sandy in 2012, New York City developed a comprehensive plan to mitigate future climate risks, drawing upon the scientific expertise of the New York City Panel on Climate Change (NPCC), a special advisory group comprised of university and private-sector experts. This paper highlights current NPCC findings regarding sea level rise and coastal flooding, with some of the City's ongoing and planned responses. Twentieth century sea level rise in New York City (2.8 cm/decade) exceeded the global average (1.7 cm/decade), underscoring the enhanced regional risk to coastal hazards. NPCC (2015) projects future sea level rise at the Battery of 28-53 cm by the 2050s and 46-99 cm by the 2080s, relative to 2000-2004 (mid-range, 25th-75th percentile). High-end SLR estimates (90th percentile) reach 76 cm by the 2050s, and 1.9 m by 2100. Combining these projections with updated FEMA flood return period curves, assuming static flood dynamics and storm behavior, flood heights for the 100-year storm (excluding waves) attain 3.9-4.5 m (mid-range), relative to the NAVD88 tidal datum, and 4.9 m (high end) by the 2080s, up from 3.4 m in the 2000s. Flood heights with a 1% annual chance of occurrence in the 2000s increase to 2.0-5.4% (mid-range) and 12.7% per year (high-end), by the 2080s. Guided by NPCC (2013, 2015) findings, New York City has embarked on a suite of initiatives to strengthen coastal defenses, employing various approaches tailored to specific neighborhood needs. NPCC continues its collaboration with the city to investigate vulnerability to extreme climate events, including heat waves, inland floods and coastal storms. Current research entails higher-resolution neighborhood-level coastal flood mapping, changes in storm characteristics, surge height interactions with sea level rise, and stronger engagement with stakeholders and community-based organizations.",Climate Change Adaptation in North America,2017,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,"Step 1: Read the whole abstract and extract information relevant to the question. New York City's shoreline is vulnerable to sea level rise and coastal flooding. The city has developed a comprehensive plan to mitigate future climate risks with the help of the New York City Panel on Climate Change (NPCC). The NPCC's findings project future sea level rise and coastal flooding, with estimates indicating an increased regional risk to coastal hazards. New York City has implemented initiatives to strengthen coastal defenses and is collaborating with NPCC to investigate vulnerability to extreme climate events and engage stakeholders and community-based organizations.
Step 2: Identify the relevant statement: “Twentieth century sea level rise in New York City (2.8 cm/decade) exceeded the global average (1.7 cm/decade), underscoring the enhanced regional risk to coastal hazards.""
Step 3: Give reasoning to rationalize your decision: Because the statement emphasizes the faster rate of sea level rise in New York City relative to the global average, it underscores the unique and heightened vulnerability of the city to coastal hazards and the urgent need for tailored adaptation and mitigation strategies.
Step 4: Conclusion: The abstract refutes the claim in the scientific news. The rationale in this sentence is: “Twentieth century sea level rise in New York City (2.8 cm/decade) exceeded the global average (1.7 cm/decade), underscoring the enhanced regional risk to coastal hazards."""
1184,"Predicting exactly when natural resources, species and ecosystems may disappear isn't possible, experts say","Predicting exactly when natural resources, species and ecosystems may disappear is possible.",Claim,https://www.reuters.com/news/article/factcheck-climate-2029/fact-check-predicting-exactly-when-natural-resources-species-and-ecosystems-may-disappear-isnt-possible-experts-say-idUSL1N2RM2EG,Nature,26-Oct-21,FALSE,https://doi.org/10.1038/s41467-020-15029-x,Regime shifts occur disproportionately faster in larger ecosystems,"Gregory S. Cooper, Simon Willcock & John A. Dearing","Regime shifts can abruptly affect hydrological, climatic and terrestrial systems, leading to degraded ecosystems and impoverished societies. While the frequency of regime shifts is predicted to increase, the fundamental relationships between the spatial-temporal scales of shifts and their underlying mechanisms are poorly understood. Here we analyse empirical data from terrestrial (n?=?4), marine (n?=?25) and freshwater (n?=?13) environments and show positive sub-linear empirical relationships between the size and shift duration of systems. Each additional unit area of an ecosystem provides an increasingly smaller unit of time taken for that system to collapse, meaning that large systems tend to shift more slowly than small systems but disproportionately faster. We substantiate these findings with five computational models that reveal the importance of system structure in controlling shift duration. The findings imply that shifts in Earth ecosystems occur over 'human' timescales of years and decades, meaning the collapse of large vulnerable ecosystems, such as the Amazon rainforest and Caribbean coral reefs, may take only a few decades once triggered.",Nature Communications,2020,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,"Step 1: Read the whole abstract and extract information relevant to the question. The abstract discusses regime shifts and their impact on hydrological, climatic, and terrestrial systems. It highlights the increase in the frequency of regime shifts and the relationship between the spatial-temporal scales of shifts and their underlying mechanisms. The analysis of empirical data from terrestrial, marine, and freshwater environments reveals positive sub-linear empirical relationships between the size and shift duration of systems. The findings suggest that large systems tend to shift more slowly than small systems but disproportionately faster. The text also indicates that shifts in Earth ecosystems occur over 'human' timescales of years and decades, implying that the collapse of large vulnerable ecosystems may take only a few decades once triggered.
Step 2: Identify the relevant statement: “Each additional unit area of an ecosystem provides an increasingly smaller unit of time taken for that system to collapse, meaning that large systems tend to shift more slowly than small systems but disproportionately faster.""
Step 3: Give reasoning to rationalize your decision: It indicates that larger ecosystems may indeed take longer to undergo regime shifts compared to smaller ones, but once triggered, the collapse can occur at a faster rate relative to their size. This challenges assumptions that ecosystem size directly correlates with the duration or speed of regime shifts uniformly across terrestrial, marine, and freshwater environments.
Step 4: Conclusion: The abstract refutes the claim in the scientific news. The rationale in this sentence is: “Each additional unit area of an ecosystem provides an increasingly smaller unit of time taken for that system to collapse, meaning that large systems tend to shift more slowly than small systems but disproportionately faster."""
5601,Do Deer Carry COVID-19?,Populations of wild deer across North America was tested positive for SARS-CoV-2 antibodies.,Claim,https://www.snopes.com/fact-check/study-coronavirus-antibodies-deer/,Nature,7-Aug-21,TRUE,https://journals.asm.org/doi/10.1128/jvi.00083-21,Susceptibility of White-Tailed Deer (Odocoileus virginianus) to SARS-CoV-2,"Mitchell V. Palmer, Mathias Martins, Shollie Falkenberg, Alexandra Buckley, Leonardo C. Caserta, Patrick K. Mitchell, Eric D. Cassmann, Alicia Rollins, Nancy C. Zylich, Randall W. Renshaw, Cassandra Guarino, Bettina Wagner, Kelly Lager, Diego G. Diel","The origin of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the virus causing the global coronavirus disease 2019 (COVID-19) pandemic, remains a mystery. Current evidence suggests a likely spillover into humans from an animal reservoir. Understanding the host range and identifying animal species that are susceptible to SARS-CoV-2 infection may help to elucidate the origin of the virus and the mechanisms underlying cross-species transmission to humans. Here, we demonstrated that white-tailed deer (Odocoileus virginianus), an animal species in which the angiotensin-converting enzyme 2 (ACE2)the SARS-CoV-2 receptorshares a high degree of similarity to that of humans, are highly susceptible to infection. Intranasal inoculation of deer fawns with SARS-CoV-2 resulted in established subclinical viral infection and shedding of infectious virus in nasal secretions. Notably, infected animals transmitted the virus to noninoculated contact deer. Viral RNA was detected in multiple tissues 21?days postinoculation (p.i.). All inoculated and indirect contact animals seroconverted and developed neutralizing antibodies as early as day 7?p.i. The work provides important insights into the animal host range of SARS-CoV-2 and identifies white-tailed deer as a wild animal species susceptible to the virus.",Journal of Virology,2021,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,"Step 1: Read the whole abstract and extract information relevant to the question. The abstract discusses the potential origin of SARS-CoV-2, the virus causing COVID-19, and suggests a likely spillover from an animal reservoir to humans. It highlights a study demonstrating that white-tailed deer are highly susceptible to SARS-CoV-2 infection, with the virus being transmitted among the deer. The research provides insight into the animal host range of SARS-CoV-2 and identifies white-tailed deer as a wild animal species susceptible to the virus.
Step 2: Identify the relevant statement: “We demonstrated that white-tailed deer (Odocoileus virginianus), an animal species in which the angiotensin-converting enzyme 2 (ACE2)the SARS-CoV-2 receptorshares a high degree of similarity to that of humans, are highly susceptible to infection.""
Step 3: Give reasoning to rationalize your decision: The statement provides additional evidence by noting the infection outcomes in these deer, including viral shedding and seroconversion. These findings contribute to understanding the potential role of wildlife species, like white-tailed deer, in the transmission dynamics and origin of SARS-CoV-2.
Step 4: Conclusion: The abstract supports the claim in the scientific news. The rationale in this sentence is: “We demonstrated that white-tailed deer (Odocoileus virginianus), an animal species in which the angiotensin-converting enzyme 2 (ACE2)the SARS-CoV-2 receptorshares a high degree of similarity to that of humans, are highly susceptible to infection."""
5603,Has the Macaw Species from 'Rio' Movies Been Declared Extinct in the Wild?,The macaw species from the Rio movies has been declared extinct in the wild.,Claim,https://www.snopes.com/fact-check/rio-macaw-extinct/,Nature,27-Aug-19,TRUE,https://www.sciencedirect.com/science/article/abs/pii/S0006320718308012,Which bird species have gone extinct? A novel quantitative classification approach,"Stuart H.M. Butchart, Stephen Lowe, Rob W. Martin, Andy Symes, James R.S. Westrip, Hannah Wheatley","Determining whether species have gone extinct requires considering the timing and reliability of records, the timing and adequacy of surveys, and the timing, extent and intensity of threats. However, previous assessments have either applied qualitative approaches or considered only the first of these factors. We applied quantitative methods encompassing all three factors to a suite of 61 potentially or confirmed extinct species of birds. We tested six different methods, each with a range of thresholds, for assigning species to IUCN Red List Categories, and compared the results with species' current categories. We recommend that if both the probability that a species remains extant based on threats and the probability based on records and surveys fall below 0.5, it should qualify as Critically Endangered (Possibly Extinct), while if both probabilities fall below 0.1 it should qualify as Extinct. This novel approach resulted in an 80% match with the current IUCN Red List classification of species. The exceptions largely reflect species whose reclassification was pending the outcome of this work. Consequently, we recommend that nine species are reclassified on the IUCN Red List, with cryptic treehunter (Cichlocolaptes mazarbarnetti), Alagoas foliage-gleaner (Philydor novaesi) poo-uli (Melamprosops phaeosoma) now qualifying as Extinct. We estimate a revised total of 187 extinctions since 1500, of which 90% have been of insular species. The major drivers were invasive alien species (46%) and hunting/trapping (26%). Application of this approach in non-avian groups would increase the robustness of extinction rate estimates and species' classifications on the IUCN Red List.",Biological Conservation,2018,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
5619,"Yes, Researchers Taught a Goldfish To Steer a Tank on Wheels","Goldfish can steer a specially designed ""fish-operated vehicle"" to get food.",Claim,https://www.snopes.com/fact-check/goldfish-steer-tank-on-wheels/,Nature,9-Jan-22,TRUE,https://www.sciencedirect.com/science/article/abs/pii/S0166432821005994,From fish out of water to new insights on navigation mechanisms in animals,"Shachar Givon, Matan Samina, Ohad Ben-Shahar, Ronen Segev","Navigation is a critical ability for animal survival and is important for food foraging, finding shelter, seeking mates and a variety of other behaviors. Given their fundamental role and universal function in the animal kingdom, it makes sense to explore whether space representation and navigation mechanisms are dependent on the species, ecological system, brain structures, or whether they share general and universal properties. One way to explore this issue behaviorally is by domain transfer methodology, where one species is embedded in another species' environment and must cope with an otherwise familiar (in our case, navigation) task. Here we push this idea to the limit by studying the navigation ability of a fish in a terrestrial environment. For this purpose, we trained goldfish to use a Fish Operated Vehicle (FOV), a wheeled terrestrial platform that reacts to the fish's movement characteristics, location and orientation in its water tank to change the vehicle's; i.e., the water tank's, position in the arena. The fish were tasked to drive the FOV towards a visual target in the terrestrial environment, which was observable through the walls of the tank, and indeed were able to operate the vehicle, explore the new environment, and reach the target regardless of the starting point, all while avoiding dead-ends and correcting location inaccuracies. These results demonstrate how a fish was able to transfer its space representation and navigation skills to a wholly different terrestrial environment, thus supporting the hypothesis that the former possess a universal quality that is species-independent.",Behavioural Brain Research,2022,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
5627,Did Scientists Detect Cocaine in Freshwater Shrimp?,"Cocaine is present in multiple, freshwater-shrimp samples across the U.K.",Claim,https://www.snopes.com/fact-check/cocaine-shrimp/,Nature,3-May-19,TRUE,https://pubmed.ncbi.nlm.nih.gov/21536011/,Selective uptake and biological consequences of environmentally relevant antidepressant pharmaceutical exposures on male fathead minnows,"Melissa M Schultz, Meghan M Painter, Stephen E Bartell, Amanda Logue, Edward T Furlong, Stephen L Werner, Heiko L Schoenfuss","Antidepressant pharmaceuticals have been reported in wastewater effluent at the nanogram to low microgram-per-liter range, and include bupropion (BUP), fluoxetine (FLX), sertraline (SER), and venlafaxine (VEN). To assess the effects of antidepressants on reproductive anatomy, physiology, and behavior, adult male fathead minnows (Pimephales promelas) were exposed for 21 days either to a single concentration of the antidepressants FLX, SER, VEN, or BUP, or to an antidepressant mixture. The data demonstrated that exposure to VEN (305 ng/L and 1104 ng/L) and SER (5.2 ng/L) resulted in mortality. Anatomical alterations were noted within the testes of fish exposed to SER and FLX, both modulators of the neurotransmitter serotonin. Additionally, FLX at 28 ng/L induced vitellogenin in male fish--a common endpoint for estrogenic endocrine disruption. Significant alterations in male secondary sex characteristics were noted with single exposures. Effects of single compound exposures neither carried over, nor became additive in the antidepressant mixtures, and reproductive behavior was not affected. Analysis of brain tissues from the exposed fish suggested increased uptake of FLX, SER and BUP and minimal uptake of VEN when compared to exposure water concentrations. Furthermore, the only metabolite detected consistently in the brain tissues was norfluoxetine. Similar trends of uptake by brain tissue were observed when fish were exposed to antidepressant mixtures. The present study demonstrates that anatomy and physiology, but not reproductive behavior, can be disrupted by exposure to environmental concentrations of some antidepressants. The observation that antidepressant uptake into fish tissues is selective may have consequences on assessing the mode-of-action and effects of these compounds in future studies.",Aquatic Toxicology,2011,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
7212,A Monkey Mother Ate Her Mummified Dead Baby in a Never-Before-Seen Case,A monkey mother consumes her mummified dead baby.,Claim,https://www.sciencealert.com/a-monkey-mother-has-been-seen-cannibalising-her-baby-s-mummified-corpse,Nature,26-Sep-17,TRUE,https://onlinelibrary.wiley.com/doi/abs/10.1002/ajp.20802,Cannibalism in wild bonobos (Pan paniscus) at Lui Kotale,"Andrew Fowler, Gottfried Hohmann","We describe the cannibalization of an infant bonobo (circa 2.5 years old) at Lui Kotale, in the Democratic Republic of Congo. The infant died of unknown causes and was consumed by several community members including its mother and an older sibling one day after death. Certain features concerning the pattern of consumption fit in with previously observed episodes of cannibalism in Pan, whereas others, such as the mother's participation in consuming the body, are notable. The incident suggests that filial cannibalism among apes need not be the result of nutritional or social stress and does not support the idea that filial cannibalism is a behavioral aberration.",American Journal of Primatology,2010,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
7239,Scientists Have Engineered Beetles With a Fully Functional Third Eye,Beetles can be engineered to have a third eye.,Claim,https://www.sciencealert.com/scarab-beetle-grows-third-eye-genetic-engineering-organ-evolution,Nature,14-Nov-17,TRUE,https://onlinelibrary.wiley.com/doi/full/10.1002/jez.b.22682,"Conservation, Innovation, and Bias: Embryonic Segment Boundaries Position Posterior, but Not Anterior, Head Horns in Adult Beetles","Hannah A. Busey, Eduardo E. Zattara, Armin P. Moczek","The integration of form and function of novel traits is a fundamental process during the developmental evolution of complex organisms, yet how novel traits and trait functions integrate into preexisting contexts remains poorly understood. Here, we explore the mechanisms by which the adult insect head has been able to integrate novel traits and features during its ontogeny, focusing on the cephalic horns of Onthophagus beetles. Specifically, using a microablation approach we investigate how different regions of the dorsal head of adult horned beetles relate to their larval and embryonic counterparts and test whether deeply conserved regional boundaries that establish the embryonic head might also facilitate or bias the positioning of cephalic horns along the dorsal adult head. We find that paired posterior hornsthe most widespread horn type within the genusare positioned along a border homologous to the embryonic clypeolabral (CL)-ocular boundary, and that this placement constitutes the ancestral form of horn positioning. In contrast, we observed that the phylogenetically much rarer anterior horns are positioned by larval head regions contained firmly within the CL segment and away from any major preexisting larval head landmarks or boundaries. Lastly, we describe the unexpected finding that ablations at medial head regions can result in ectopic outgrowths bearing terminal structures resembling the more anterior clypeal ridge. We discuss our results in the light of the developmental genetic mechanisms of head formation in holometabolous insects and the role of co-option in innovation and bias in developmental evolution.",Journal of Experimental Biology,2016,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
7243,"An Orca Has Been Taught to ""Say"" Human Words in a World-First","Orcas can be taught to ""say"" human words. ",Claim,https://www.sciencealert.com/orca-killer-whale-learns-to-mimic-human-speech-hello-bye-bye-language,Nature,31-Jan-18,TRUE,https://cdnsciencepub.com/doi/abs/10.1139/z91-206,Vocal traditions among resident killer whales (Orcinus orca) in coastal waters of British Columbia,John K. B. Ford,"Underwater vocalizations were recorded during repeated encounters with 16 pods, or stable kin groups, of resident killer whales (Orcinus orca) off the coast of British Columbia. Pods were identified from unique natural markings on individuals. Vocal exchanges within pods were dominated by repetitious, discrete calls. Pods each produced 7-17 (mean 10.7) types of discrete calls. Individuals appear to acquire their pod's call repertoire by learning, and repertoires can persist with little change for over 25 years. Call repertoires differed significantly among pods in the resident population. The 16 pods formed four distinct acoustic associations, or clans, each having a unique repertoire of discrete calls, or vocal tradition. Pods within a clan shared several call types, but no sharing took place among clans. Shared calls often contained structural variations specific to each pod or group of pods in the clan. These variants and other differences in acoustic behaviour formed a system of related pod-specific dialects within the vocal tradition of each clan. Pods from different clans often travelled together, but observed patterns of social associations were often independent of acoustic relationships. It is proposed that each clan comprises related pods that have descended from a common ancestral group. New pods formed from this ancestral group through growth and matrilineal division of the lineage. The formation of new pods was accompanied by divergence of the call repertoire of the founding group. Such divergence resulted from the accumulation of errors in call learning across generations, call innovation, and call extinction. Pod-specific repertoires probably serve to enhance the efficiency of vocal communication within the group and act as behavioural indicators of pod affiliation. The striking differences among the vocal traditions of different clans suggest that each is an independent matriline.",Canadian Journal of Zoology,1991,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
