id,title,claim,Type,url,domain,news_date,true/false,published_paper_urls,published_paper_title,published_paper_authors,published_paper_abstract,published_paper_venue,published_paper_year,Answers,Answers,Answers,Prompt,Abstract_Summary
1025,300-word journal abstract is not proof of mRNA vaccines being used to 'murder',mRNA vaccines was used to 'murder',Claim,https://www.reuters.com/news/article/factcheck-coronavirus-britain/fact-check-300-word-journal-abstract-is-not-proof-of-mrna-vaccines-being-used-to-murder-idUSL1N2SL1ME,Opinion,30-Nov-21,FALSE,https://jamanetwork.com/journals/jama/fullarticle/2786667,"Myocardial Infarction, Stroke, and Pulmonary Embolism After BNT162b2 mRNA COVID-19 Vaccine in People Aged 75 Years or Older","Marie Joelle Jabagi, PharmD, PhD; Jérémie Botton, PharmD, PhD; Marion Bertrand, MSc; et alAlain Weill, MD; Paddy Farrington, PhD; Mahmoud Zureik, MD, PhD; Rosemary Dray-Spira, MD, PhD","In this nationwide study involving persons aged 75 years or older in France, no increase in the incidence of acute myocardial infarction, stroke, and pulmonary embolism was detected 14 days following each BNT162b2 mRNA vaccine dose.Israeli and US studies reported that persons receiving the BNT162b2 vaccine were not at increased risk of myocardial infarction, pulmonary embolism, or cerebrovascular events in the 42 days3 and 21 days following vaccination. Based on a self-controlled case-series design that compensates for the lack of randomization by eliminating the effect of time-invariant confounding factors, this study provides further evidence regarding the risk of serious cardiovascular adverse events in older people. Limitations of the study include the possibility of residual time-dependent confounding. Further investigations are needed to measure these risks in younger populations and for other types of vaccines against SARS-CoV-2.",JAMA,2021,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
7237,Psychiatrist Argues The 'Sonic Attacks' on Diplomats in Cuba Are Not Mass Hysteria,Havana Syndrome is not a mass psychological illness.,Claim,https://www.sciencealert.com/the-sonic-attacks-on-us-diplomats-in-cuba-are-not-manifestations-of-mass-hysteria,Opinion,5-Jul-19,TRUE,https://www.tandfonline.com/doi/abs/10.1080/0305569960220301,Epidemic Hysteria in Schools: an international and historical overview,Robert E. Bartholomew & Francois Sirois,"This study examines the characteristic features of epidemic hysteria reports in school settings, describing broad presentation patterns, and implications for management. Three distinct symptom patterns are evident based on the descriptive features of reports. The first type is 'mass motor hysteria' (n = 53) which predominates in non?Western traditional cultures among students exposed to pre?existing psychosocial stress, most frequently repressive academic and religious discipline, which precipitates dissociation, histrionics, and psychomotor alterations. A second pattern, 'mass anxiety hysteria' (n = 62), is typified by the sudden appearance of extreme anxiety following the redefinition of a mundane event such as illness in a fellow student or an unfamiliar odour, which is perceived as an immediate threat. A third pattern, 'mass pseudo?hysteria' (n = 1) involves the relabelling of mundane symptoms by hypervigilant authorities. Epidemic hysteria in school settings manifests as variants of a unitary syndrome that is masked by cultural custom and local nomenclature. A diagnosis is reached by noting the absence of a concrete pathogenic etiology, in conjunction with group anxiety, ambiguous, benign, transient symptomatology, and a preponderance of female victims. Management consists of the identification and removal of the precipitating psychosocial stress.",Educational Studies,1996,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
7251,It's Bad That Most Animals Used in Experiments Never Appear in Published Research,Most animals used in experiments never appear in published research.,Claim,https://www.sciencealert.com/most-animals-used-in-scientific-experiments-never-appear-in-published-research,Opinion,16-Oct-20,TRUE,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jne.12384,Is there a Publication Bias in Behavioural Intranasal Oxytocin Research on Humans? Opening the File Drawer of One Laboratory,"A. Lane, O. Luminet, G. Nave and M. Mikolajczak","The neurohormone oxytocin (OT) has been one the most studied peptides in behavioural sciences over the past two decades. Primarily known for its crucial role in labour and lactation, a rapidly growing literature suggests that intranasal OT (IN-OT) may also play a role in the emotional and social lives of humans. However, the lack of a convincing theoretical framework explaining the effects of IN-OT that would also allow the prediction of which moderators exert their effects and when has raised healthy skepticism regarding the robustness of human behavioural IN-OT research. Poor knowledge of the exact pharmacokinetic properties of OT, as well as crucial statistical and methodological issues and the absence of direct replication efforts, may have lead to a publication bias in the IN-OT literature, with many unpublished studies with null results remaining buried in laboratory drawers. Is there a file drawer problem in IN-OT research? If this is the case, it may also be true in our own laboratory. The present study aims to answer this question, document the extent of the problem and discuss its implications for OT research. For eight studies (including 13 dependent variables overall, as assessed through 25 different paradigms) performed in our laboratory between 2009 and 2014 on 453 subjects, the results obtained were too often not those that were expected. Only five publications emerged from our studies and only one of these reported a null finding. After realising that our publication portfolio has become less and less representative of our actual findings and because the nonpublication of our data might contribute to generating a publication bias in IN-OT research, we decided to retrieve these studies from our drawer and encourage other laboratories to do the same.",Journal of Neuroendocrinology,2016,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
7253,How Much Do Our Genes Really Influence Our Free Will?,Genes influence free will.,Claim,https://www.sciencealert.com/just-how-much-do-our-genes-restrict-our-free-will,Opinion,19-Oct-20,TRUE,https://royalsocietypublishing.org/doi/full/10.1098/rspb.2015.1360,Association between the dopamine D4 receptor gene exon III variable number of tandem repeats and political attitudes in female Han Chinese,"Richard P. Ebstein, Mikhail V. Monakhov, Yunfeng Lu, Yushi Jiang, Poh San Lai and Soo Hong Chew","Twin and family studies suggest that political attitudes are partially determined by an individual's genotype. The dopamine D4 receptor gene (DRD4) exon III repeat region that has been extensively studied in connection with human behaviour, is a plausible candidate to contribute to individual differences in political attitudes. A first United States study provisionally identified this gene with political attitude along a liberal-conservative axis albeit contingent upon number of friends. In a large sample of 1771 Han Chinese university students in Singapore, we observed a significant main effect of association between the DRD4 exon III variable number of tandem repeats and political attitude. Subjects with two copies of the 4-repeat allele (4R/4R) were significantly more conservative. Our results provided evidence for a role of the DRD4 gene variants in contributing to individual differences in political attitude particularly in females and more generally suggested that associations between individual genes, and neurochemical pathways, contributing to traits relevant to the social sciences can be provisionally identified.",Proceedings of the Royal Society B: Biological Sciences,2015,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
7255,"Sorry, But Giving Up on Meat Is Not Going to Save The Planet",Giving up on meat won't save the planet.,Claim,https://www.sciencealert.com/sorry-but-giving-up-on-meat-is-not-going-to-save-the-planet,Opinion,26-Dec-18,TRUE,https://www.pnas.org/doi/full/10.1073/pnas.1707322114,Nutritional and greenhouse gas impacts of removing animals from US agriculture,Robin R. White and Mary Beth Hall,"As a major contributor to agricultural greenhouse gas (GHG) emissions, it has been suggested that reducing animal agriculture or consumption of animal-derived foods may reduce GHGs and enhance food security. Because the total removal of animals provides the extreme boundary to potential mitigation options and requires the fewest assumptions to model, the yearly nutritional and GHG impacts of eliminating animals from US agriculture were quantified. Animal-derived foods currently provide energy (24% of total), protein (48%), essential fatty acids (23-100%), and essential amino acids (34-67%) available for human consumption in the United States. The US livestock industry employs 1.6 × 106 people and accounts for $31.8 billion in exports. Livestock recycle more than 43.2 × 109 kg of human-inedible food and fiber processing byproducts, converting them into human-edible food, pet food, industrial products, and 4 × 109 kg of N fertilizer. Although modeled plants-only agriculture produced 23% more food, it met fewer of the US population's requirements for essential nutrients. When nutritional adequacy was evaluated by using least-cost diets produced from foods available, more nutrient deficiencies, a greater excess of energy, and a need to consume a greater amount of food solids were encountered in plants-only diets. In the simulated system with no animals, estimated agricultural GHG decreased (28%), but did not fully counterbalance the animal contribution of GHG (49% in this model). This assessment suggests that removing animals from US agriculture would reduce agricultural GHG emissions, but would also create a food supply incapable of supporting the US population's nutritional requirements.",PNAS,2017,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
7256,Here's The Real Truth About That Confusing Red Meat Study,There is currently no good evidence that red meat is harmful to health.,Claim,https://www.sciencealert.com/here-s-the-real-truth-about-that-confusing-red-meat-study,Opinion,2-Oct-19,TRUE,https://onlinelibrary.wiley.com/doi/full/10.1002/ijc.29423,Meat subtypes and their association with colorectal cancer: Systematic review and meta-analysis,"Prudence R. Carr, Viola Walter, Hermann Brenner, Michael Hoffmeister","Associations between specific red meat subtypes and risk of colorectal cancer (CRC) have been investigated in a number of epidemiological studies. However, no publication to date has summarised the overall epidemiological evidence. We conducted a systematic review and meta-analysis of prospective studies (cohort, nested case-control or case-cohort studies), which reported relative risk (RR) estimates and 95% confidence intervals (CI) for the association between intake of meat subtypes with colorectal, colon or rectal cancer or colorectal adenoma risk. PubMed and ISI Web of Science were searched up until August 1, 2014. Nineteen studies examined meat subtypes (5 beef, 5 pork, 2 lamb, 1 veal and 19 poultry) and associations with colorectal, colon or rectal cancer risk and 4 studies examined associations with adenoma risk (1 beef and 4 poultry). Comparing highest versus lowest intake, beef consumption was associated with an increased risk of CRC (RR?=?1.11, 95% CI?=?1.01 to 1.22) and colon cancer (RR?=?1.24, 95% CI?=?1.07 to 1.44), but no association was found with rectal cancer (RR?=?0.95, 95% CI?=?0.78 to 1.16). Higher consumption of lamb was also associated with increased risk of CRC (RR?=?1.24, 95% CI?=?1.08 to 1.44). No association was observed for pork (RR?=?1.07, 95% CI?=?0.90 to 1.27), but some between study heterogeneity was observed. No association was observed for poultry consumption and risk of colorectal adenomas or cancer. This meta-analysis suggests that red meat subtypes differ in their association with CRC and its sub sites. Further analysis of data from prospective cohort studies is warranted, especially regarding the role of pork.",International Journal of Cancer,2015,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
5616,Our Days Feel Shorter Because Time Is Literally Speeding Up,Time itself is speeding up and we actually perceive a 24-hour day as a 16-hour day.,Claim,https://www.snopes.com/fact-check/our-days-feel-shorter-because-time-is-literally-speeding-up/,Physics,19-Nov-16,FALSE,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2000JA900118,Decrease of the first Schumann resonance frequency during solar proton events,"V. C. Roldugin, Y. P. Maltsev, G. A. Petrova, A. N. Vasiljev","The variations of the first-order Schumann resonance frequency in Kola peninsula are studied for four solar proton events on November 4 and 6, 1997 and on May 2 and May 6, 1998. It is found that the frequency decreases by about 0.15 Hz during the peaks of the proton penetrations. Such a decrease is in agreement with modeling calculations. A very intensive solar X ray burst preceding the proton flare on November 6 caused an increase of the resonance frequency. The decrease of amplitude about of 0.2 pT and the decrease of the resonance bandwidth about of 0.2 Hz are observed in the November events.",Journal of Geophysical Research: Space Physics,2001,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
5640,Did a Study Prove That Airport Scanners 'Rip Apart' Your DNA?,Millimeter wave body scanners used by airport security can alter your DNA.,Claim,https://www.snopes.com/fact-check/do-airport-scanners-rip-apart-dna/,Physics,24-Feb-17,FALSE,https://www.sciencedirect.com/science/article/abs/pii/S0375960110000125,DNA Breathing Dynamics in the Presence of a Terahertz Field,"B.S. Alexandrov, V. Gelev, A.R. Bishop, A. Usheva, K.Ø. Rasmussen","We consider the influence of a terahertz field on the breathing dynamics of double-stranded DNA. We model the spontaneous formation of spatially localized openings of a damped and driven DNA chain, and find that linear instabilities lead to dynamic dimerization, while true local strand separations require a threshold amplitude mechanism. Based on our results we argue that a specific terahertz radiation exposure may significantly affect the natural dynamics of DNA, and thereby influence intricate molecular processes involved in gene expression and DNA replication.",Physics Letters A,2010,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
7203,A Rare Element From The Edge of The Periodic Table Is Breaking Quantum Mechanics,"The electrons around berkelium are governed by Einstein's theory of relativity, which predicts that as objects with mass move faster, they get heavier.",Claim,https://www.sciencealert.com/a-mysterious-element-on-the-outskirts-of-the-periodic-table-is-breaking-quantum-mechanics,Physics,4-Oct-17,TRUE,https://pubs.acs.org/doi/full/10.1021/jacs.7b05569,Electronic Structure and Properties of Berkelium Iodates,"Mark A. Silver, Samantha K. Cary, Alejandro J. Garza, Ryan E. Baumbach, Alexandra A. Arico, Gregory A. Galmin, Kuan-Wen Chen, Jason A. Johnson, Jamie C. Wang, Ronald J. Clark, Alexander Chemey, Teresa M. Eaton, Matthew L. Marsh, Kevin Seidler, Shane S. Galley, Lambertus van de Burgt, Ashley L. Gray, David E. Hobart, Kenneth Hanson, Shelley M. Van Cleve, Frédéric Gendron, Jochen Autschbach, Gustavo E. Scuseria, Laurent Maron, Manfred Speldrich, Paul Kögerler, Cristian Celis-Barros, Dayán Páez-Hernández, Ramiro Arratia-Pérez, Michael Ruf, and Thomas E. Albrecht-Schmitt","The reaction of 249Bk(OH)4 with iodate under hydrothermal conditions results in the formation of Bk(IO3)3 as the major product with trace amounts of Bk(IO3)4 also crystallizing from the reaction mixture. The structure of Bk(IO3)3 consists of nine-coordinate BkIII cations that are bridged by iodate anions to yield layers that are isomorphous with those found for AmIII, CfIII, and with lanthanides that possess similar ionic radii. Bk(IO3)4 was expected to adopt the same structure as M(IO3)4 (M = Ce, Np, Pu), but instead parallels the structural chemistry of the smaller ZrIV cation. BkIII-O and BkIV-O bond lengths are shorter than anticipated and provide further support for a postcurium break in the actinide series. Photoluminescence and absorption spectra collected from single crystals of Bk(IO3)4 show evidence for doping with BkIII in these crystals. In addition to luminescence from BkIII in the Bk(IO3)4 crystals, a broad-band absorption feature is initially present that is similar to features observed in systems with intervalence charge transfer. However, the high-specific activity of 249Bk (t1/2 = 320 d) causes oxidation of BkIII and only BkIV is present after a few days with concomitant loss of both the BkIII luminescence and the broadband feature. The electronic structure of Bk(IO3)3 and Bk(IO3)4 were examined using a range of computational methods that include density functional theory both on clusters and on periodic structures, relativistic ab initio wave function calculations that incorporate spin-orbit coupling (CASSCF), and by a full-model Hamiltonian with spin-orbit coupling and Slater-Condon parameters (CONDON). Some of these methods provide evidence for an asymmetric ground state present in BkIV that does not strictly adhere to Russel-Saunders coupling and Hund's Rule even though it possesses a half-filled 5f7 shell. Multiple factors contribute to the asymmetry that include 5f electrons being present in microstates that are not solely spin up, spin-orbit coupling induced mixing of low-lying excited states with the ground state, and covalency in the BkIV-O bonds that distributes the 5f electrons onto the ligands. These factors are absent or diminished in other f7 ions such as GdIII or CmIII.",Journal of the American Chemical Society,2017,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
7211,Physicists Just Cracked The Problem of Stabilising a Totally New Kind of Particle,"Scientists have discovered the existence of a type of particle that's never previously been observed, which demonstrates unprecedented chemical stability.",Claim,https://www.sciencealert.com/a-new-kind-of-particle-with-colossal-stability-is-a-first-in-physics-and-chemistry,Physics,19-Sep-17,TRUE,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201706764,Colossal Stability of Gas-Phase Trianions: Super-Pnictogens,"Tianshan Zhao, Dr. Jian Zhou, Prof. Qian Wang, Prof. Puru Jena","Multiply charged negative ions are ubiquitous in nature. They are stable as crystals because of charge compensating cations; while in solutions, solvent molecules protect them. However, they are rarely stable in the gas phase because of strong electrostatic repulsion between the extra electrons. Therefore, understanding their stability without the influence of the environment has been of great interest to scientists for decades. While much of the past work has focused on dianions, work on triply charged negative ions is sparse and the search for the smallest trianion that is stable against spontaneous electron emission or fragmentation continues. Stability of BeB11(X)123? (X=CN, SCN, BO) trianions is demonstrated in the gas phase, with BeB11(CN)123? exhibiting colossal stability against electron emission by 2.65?eV and against its neutral adduct by 15.85?eV. The unusual stability of these trianions opens the door to a new class of super-pnictogens with potential applications in aluminum-ion batteries.",Angewandte Chemie International Edition,2017,Supports,Refutes,Not Enough Information,What is the stance of the following scientific paper with respect to the claim?,
