id,title,claim,url,domain,news_date,true/false,published_paper_urls,published_paper_title,published_paper_authors,published_paper_abstract,published_paper_venue,published_paper_year,rationale,selected_sentence_list
247,No evidence that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,Evidence shows that U.S. schoolchildren are self-identifying as animals and disrupting classrooms,https://www.reuters.com/news/article/factcheck-furries-school/fact-check-no-evidence-that-u-s-schoolchildren-are-self-identifying-as-animals-and-disrupting-classrooms-idUSL1N2YN1O2,Humans,6-Jul-22,False,https://furscience.com/whats-a-furry/,What's a Furry?,Furscience,"The term furry describes a diverse community of fans, artists, writers, gamers, and role players. Most furries create for themselves an anthropomorphized animal character (fursona) with whom they identify and can function as an avatar within the community. Some furries wear elaborate costumes (called fursuits) or paraphernalia such as animal ears or tails, or represent themselves as anthropomorphic animals in online communities such as Second Life. Furry fandom is an inclusive term that describes the community of furries that span online, local, and international settings. The furry fandom is global, with hundreds of local groups existing worldwide and dozens of conventions held annually. A small subset of furries (~10%), called therians, believe they are spiritually connected to animals, are less than (or more than) 100% human, are an animal trapped in a human body, or were an animal in a former life. Otherkin, like therians, feel spiritually connected to non-human species, but the species extend to mystical species, e.g., dragons, griffons, and minotaurs. More than 75% of furries are under the age of 25. Approximately 84% of furries identify as male, 13% female, and 2.5% are transgender. Furries are predominantly (83.2%) white. Approximately one-third identify as exclusively heterosexual; furries are about five times more likely to identify as exclusively homosexual than the general population. Nearly 60% of the furry fandom reports part-time or full-time enrollment in post-secondary education.",Furscience,2022,"Step 1: Read the whole abstract and extract information relevant to the question. The furry community is diverse, including fans, artists, writers, gamers, and role players. Most furries create anthropomorphized animal characters called fursonas. Some wear elaborate costumes or paraphernalia and engage with online communities like Second Life. The community is global, with local groups and annual conventions. A subset of furries called therians and otherkin feel spiritually connected to animals, and the majority of furries are under 25 years old. The community is predominantly male and white, with a significant portion enrolled in post-secondary education.
Step 2: Identify the relevant statement: A small subset of furries (~10%), called therians, believe they are spiritually connected to animals, are less than (or more than) 100% human, are an animal trapped in a human body, or were an animal in a former life.
Step 3: Give reasoning to rationalize your decision: A subset of individuals within the furry community who identify as therians and feel spiritually connected to animals, but it does not specifically address U.S. schoolchildren or their behavior in classrooms.
Step 4: Conclusion: The abstract refutes the claim in the scientific news. The rationale is this sentence: “A small subset of furries (~10%), called therians, believe they are spiritually connected to animals, are less than (or more than) 100% human, are an animal trapped in a human body, or were an animal in a former life.”","[{0: 1}, {1: 1}, {2: 1}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 0}, {9: 0}, {10: 0}, {11: 0}]"
918,Post-pandemic stress disorder' not caused by COVID-19 vaccines,Post-pandemic stress disorder is caused by COVID-19 vaccines.,https://www.reuters.com/news/article/factcheck-coronavirus-ppsd/fact-check-post-pandemic-stress-disorder-not-caused-by-covid-19-vaccines-idUSL1N2TC0RO,Humans,27-Dec-21,False,https://thorax.bmj.com/content/76/4/412,"COVID-19, immunothrombosis and venous thromboembolism: biological mechanisms","Joan Loo, Daniella A Spittle, Michael Newnham","Thrombotic events that frequently occur in COVID-19 are predominantly venous thromboemboli (VTE) and are associated with increasing disease severity and worse clinical outcomes. Distinctive microvascular abnormalities in COVID-19 include endothelial inflammation, disruption of intercellular junctions and microthrombi formation. A distinct COVID-19-associated coagulopathy along with increased cytokines and activation of platelets, endothelium and complement occur in COVID-19, which is more frequent with worsening disease severity. This proinflammatory milieu may result in immunothrombosis, a host defence mechanism that can become dysregulated, leading to excess formation of immunologically mediated thrombi which predominantly affect the microvasculature. The haemostatic and immune systems are intricately linked, and multifactorial processes are likely to contribute to VTE and immunothrombosis in COVID-19. This state-of-the-art review will explore the pathobiological mechanisms of immunothrombosis and VTE in COVID-19 focusing on: COVID-19-associated coagulopathy, pathology, endothelial dysfunction and haemostasis, the immune system and thrombosis, genetic associations and additional thrombotic mechanisms. An understanding of the complex interplay between these processes is necessary for developing and assessing how new treatments affect VTE and immunothrombosis in COVID-19.",Thorax,2021,"Step 1: Read the whole abstract and extract information relevant to the question. The abstract discusses the thrombotic events that frequently occur in COVID-19, including venous thromboemboli (VTE) and distinctive microvascular abnormalities. It highlights the distinct COVID-19-associated coagulopathy along with increased cytokines and activation of platelets, endothelium, and complement which are more frequent with worsening disease severity. The text also emphasizes the intricate link between the haemostatic and immune systems and explores the pathobiological mechanisms of immunothrombosis and VTE in COVID-19, focusing on COVID-19-associated coagulopathy, pathology, endothelial dysfunction, and haemostasis, the immune system and thrombosis, genetic associations, and additional thrombotic mechanisms.
Step 2: Identify the relevant statement: “The haemostatic and immune systems are intricately linked, and multifactorial processes are likely to contribute to VTE and immunothrombosis in COVID-19.""
Step 3: Give reasoning to rationalize your decision: The statement underscores the multifaced nature of thrombotic complications in COVID-19, involving interactions between the immune response and hemostatic processes. 
Step 4: Conclusion: The abstract refutes the claim in the scientific news. The rationale in this sentence is: “The haemostatic and immune systems are intricately linked, and multifactorial processes are likely to contribute to VTE and immunothrombosis in COVID-19.""","[{0: 0}, {1: 0}, {2: 0}, {3: 0}, {4: 0}, {5: 0}, {6: 0}]"
1111,COVID-19 test swabs cannot touch the brain or bruise the amygdala to make people submissive,COVID-19 test swabs touch the brain or bruise the amygdala to make people submissive,https://www.reuters.com/news/article/factcheck-coronavirus-egypt/fact-check-covid-19-test-swabs-cannot-touch-the-brain-or-bruise-the-amygdala-to-make-people-submissive-idUSL1N2RZ2B6,Humans,8-Nov-21,False,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1600-0420.1997.tb00792.x,The eye and its diseases in Ancient Egypt,S. Ry Andersen,"Based on a study of mummies, skeletons, burial rites, medical instruments, medicaments, literature and objets d'art from Ancient Egypt before the Hellenistic Period, the understanding of the eye, its diseases and their treatment at that time is described. Magic spells, religious rites and medical treatments, especially with eye ointments, were probably used often complementary to one another. We must be very cautious about our conclusions in regard to the effectiveness of the treatments. Eye diseases have been depicted only exceptionally in Egyptian art, except for blindness and 'symbolic blindness'.",Acta Ophthalmologica,1997,"Step 1: Read the whole abstract and extract information relevant to the question. The abstract discusses the understanding of the eye, its diseases, and its treatment in Ancient Egypt before the Hellenistic Period. It mentions the study of mummies, burial rites, medical instruments, medicaments, literature, and objets d'art as sources of information. Magic spells, religious rites, and medical treatments, including eye ointments, were likely used in combination. The text also emphasizes the need for caution when drawing conclusions about the effectiveness of the treatments. Additionally, it notes that eye diseases were rarely depicted in Egyptian art, except for blindness and symbolic blindness.
Step 2: Identify the relevant statement: “Magic spells, religious rites and medical treatments, especially with eye ointments, were probably used often complementary to one another.""
Step 3: Give reasoning to rationalize your decision: This holistic approach involving magic, religious rites, and medical treatments contrasts with any claim that ancient Egyptian eye treatments were solely based on empirical medical practices or modern scientific principles. 
Step 4: Conclusion: The abstract refutes the claim in the scientific news. The rationale in this sentence is: “Magic spells, religious rites, and medical treatments, especially with eye ointments, were probably used often complementary to one another.""","[{0: 0}, {1: 0}, {2: 0}, {3: 0}]"
1158,Has Switzerland Approved 3D-Printed Pods for Assisted Suicide?,"3D-printed Sarco capsules for assisted suicides, which can be activated from the inside by the person intending to die, have been approved under Swiss law.",https://www.snopes.com/fact-check/switzerland-pods-assisted-suicide/,Humans,13-Dec-21,False,https://onlinelibrary.wiley.com/doi/10.1111/bioe.12304,Assisted Suicide in Switzerland: Clarifying Liberties and Claims,"Samia A. Hurst, Alex Mauron","Assisting suicide is legal in Switzerland if it is offered without selfish motive to a person with decision-making capacity. Although the 'Swiss model' for suicide assistance has been extensively described in the literature, the formally and informally protected liberties and claims of assistors and recipients of suicide assistance in Switzerland are incompletely captured in the literature. In this article, we describe the package of rights involved in the 'Swiss model' using the framework of Hohfeldian rights as modified by Wenar. After outlining this framework, we dissect the rights involved in suicide assistance in Switzerland, and compare it with the situation in England and Germany. Based on this approach, we conclude that in Switzerland, claim rights exist for those requesting suicide assistance, and for those who are considering providing such assistance, even though no entitlements exist toward suicide assistance. We then describe the implementation of the 'Swiss model' and difficulties arising within it. Clarifying these issues is important to understand the Swiss situation, to evaluate what features of it may or may not be worth correcting or emulating, and to understand how it can impact requests for suicide assistance in other countries due to 'suicide tourism'. It is also important to understand exactly what sets Switzerland apart from other countries with different legislations regarding suicide assistance.",Bioethics,2016,"Step 1: Read the whole abstract and extract information relevant to the question. The abstract discusses the legality of assisted suicide in Switzerland, highlighting that it is legal if offered without a selfish motive to a person with decision-making capacity. The article describes the package of rights involved in the 'Swiss model' using a specific framework, and compares the situation in Switzerland with that in England and Germany. It concludes that in Switzerland, claim rights exist for those requesting suicide assistance and for those considering providing such assistance. The text also emphasizes the importance of clarifying these issues to understand the Swiss situation, evaluate its features, and comprehend how it can impact requests for suicide assistance in other countries due to 'suicide tourism'.
Step 2: Identify the relevant statement: “In Switzerland, claim rights exist for those requesting suicide assistance, and for those who are considering providing such assistance, even though no entitlements exist toward suicide assistance.""
Step 3: Give reasoning to rationalize your decision: The statement underscores that while individuals have the right to request and consider suicide assistance, the actual provision of such assistance is not guaranteed and is subject to specific conditions and legal frameworks in Switzerland.
Step 4: Conclusion: The abstract refutes the claim in the scientific news. The rationale in this sentence is: “In Switzerland, claim rights exist for those requesting suicide assistance, and for those who are considering providing such assistance, even though no entitlements exist toward suicide assistance.""","[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}, {6: 1}, {7: 1}]"
1979,Sneaker color does not show what side of brain is dominant,Sneaker color shows what side of the brain is dominant.,https://www.reuters.com/news/article/factcheck-sneaker-color-brain/fact-check-sneaker-color-does-not-show-what-side-of-brain-is-dominant-idUSL1N2MJ1PA,Humans,26-Apr-21,False,https://www.sciencedirect.com/science/article/pii/S0960982215005357?via%3Dihub,Striking individual differences in color perception uncovered by 'the dress' photograph,"Rosa Lafer-Sousa, Katherine L. Hermann, Bevil R. Conway","The dress' is a peculiar photograph: by themselves the dress' pixels are brown and blue, colors associated with natural illuminants [1], but popular accounts (#TheDress) suggest the dress appears either white/gold or blue/black [2]. Could the purported categorical perception arise because the original social-media question was an alternative-forced-choice? In a free-response survey (N = 1401), we found that most people, including those na√Øve to the image, reported white/gold or blue/black, but some said blue/brown. Reports of white/gold over blue/black were higher among older people and women. On re-test, some subjects reported a switch in perception, showing the image can be multistable. In a language-independent measure of perception, we asked subjects to identify the dress' colors from a complete color gamut. The results showed three peaks corresponding to the main descriptive categories, providing additional evidence that the brain resolves the image into one of three stable percepts. We hypothesize that these reflect different internal priors: some people favor a cool illuminant (blue sky), discount shorter wavelengths, and perceive white/gold; others favor a warm illuminant (incandescent light), discount longer wavelengths, and see blue/black. The remaining subjects may assume a neutral illuminant, and see blue/brown. We show that by introducing overt cues to the illumination, we can flip the dress color.",Current Biology,2015,,"[{0: 1}, {1: 0}, {2: 0}, {3: 0}, {4: 0}, {5: 0}, {6: 0}, {7: 1}, {8: 1}, {9: 1}]"
2139,COVID-19 vaccines do not take away the human rights of recipients,COVID-19 vaccines take away the human rights of recipients,https://www.reuters.com/news/article/factcheck-vaccine-gmo/fact-check-covid-19-vaccines-do-not-take-away-the-human-rights-of-recipients-idUSL1N2LH395,Humans,19-Mar-21,False,https://allianceforscience.cornell.edu/blog/2020/12/yes-some-covid-vaccines-use-genetic-engineering-get-over-it/,"Yes, some COVID vaccines use genetic engineering. Get over it.",Mark Lynas,"We've all heard the conspiracy theories about COVID-19. Now a whole new set is emerging around COVID vaccines  and spreading as virulently as the pandemic they are meant to control. Though the public health community tends to resort to reassurances about some of the more reasonable concerns  yes, the vaccines have been developed incredibly quickly and short-term side effects can occur   this post aims to do something different. We're going right to the heart of the matter. So no, COVID-19 vaccines aren't delivery vehicles for government microchips. They aren't tainted by material from aborted fetuses. And they won't turn us into GMOs  though some of them do use genetic engineering, and all of them use genetics more broadly. We think this is way cool  something to celebrate, not shy away from. So, we're doing the deep reveal on exactly how genetics and biotechnology have been a central component of the vaccine effort. Because we know the conspiracists don't care about evidence, anyway.",Alliance For Science,2020,,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}, {6: 1}, {7: 0}, {8: 0}, {9: 0}]"
7204,There's a Brain Quirk That Could Explain Why Some People Think They Are Psychic,The perception of event timing explains the belief of psychic abilities.,https://www.sciencealert.com/a-difference-in-neural-timing-could-explain-why-some-people-think-they-re-psychic,Humans,13-Oct-17,True,https://journals.sagepub.com/doi/abs/10.1177/0956797616641943,A Simple Task Uncovers a Postdictive Illusion of Choice,Adam Bear and Paul Bloom,"Do people know when, or whether, they have made a conscious choice? Here, we explore the possibility that choices can seem to occur before they are actually made. In two studies, participants were asked to quickly choose from a set of options before a randomly selected option was made salient. Even when they believed that they had made their decision prior to this event, participants were significantly more likely than chance to report choosing the salient option when this option was made salient soon after the perceived time of choice. Thus, without participants' awareness, a seemingly later event influenced choices that were experienced as occurring at an earlier time. These findings suggest that, like certain low-level perceptual experiences, the experience of choice is susceptible to postdictive influence and that people may systematically overestimate the role that consciousness plays in their chosen behavior.",Association for Psychological Science,2016,,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}]"
7235,"Discovery in 12,000-Year-Old Grave Shows Not All Ancient Fishers Were Men",Not All Ancient Fishers Were Men,https://www.sciencealert.com/pleistocene-fish-hooks-female-burial-grave-hunter-gatherer-indonesia,Humans,12-Dec-17,True,https://bioone.org/journals/monographs-of-the-western-north-american-naturalist/volume-7/issue-1/042.007.0113/Early-Holocene-Pearl-Oyster-Circular-Fishhooks-and-Ornaments-on-Esp%c3%adritu/10.3398/042.007.0113.full,"Early Holocene Pearl Oyster Circular Fishhooks and Ornaments on Esp√≠ritu Santo Island, Baja California Sur",Harumi Fujita,"Discovery and analysis of 43 pearl oyster (Pinctada mazatlanica) artifacts and associated shell-processing tools from middle and basal levels of Covacha Babisuri, a rock shelter on Esp√≠ritu Santo Island, Baja California Sur, provide evidence of Early and Middle Holocene fishhook production along the southern Gulf of California coast. AMS 14C analysis of a fishhook preform recovered from the lowest stratum of the rock shelter returned a date of 8380 ¬± 50 RCYBP (Beta-236254), or 8750-8500 cal BP, with a reservoir effect of 250 ¬± 20 years, making this artifact one of the earliest known examples of a shell fishhook in the world. An additional pearl oyster artifact was found in a deeper level dating closer to 10,000 RCYBP, suggesting that this type of fishhook may date to this earlier period.",Monographs of the Western North American Naturalist,2014,,"[{0: 0}, {1: 0}, {2: 0}]"
7240,Use of Hand Sanitiser Can Seriously Mess With Breath Alcohol Test Results,Hand sanitizer can invalidate breath alcohol test results.,https://www.sciencealert.com/use-of-hand-sanitiser-can-seriously-mess-with-breath-alcohol-test-results,Humans,22-Nov-17,True,https://onlinelibrary.wiley.com/doi/full/10.1111/1556-4029.13691,The Effect of Alcohol-Based Hand Sanitizer Vapors on Evidential Breath Alcohol Test Results,"Ellen Strawsine B.S., Brian Lutmer B.S.","This study was undertaken to determine if the application of alcohol-based hand sanitizers (ABHSs) to the hands of a breath test operator will affect the results obtained on evidential breath alcohol instruments (EBTs). This study obtained breath samples on three different EBTs immediately after application of either gel or foam ABHS to the operator's hands. A small, but significant, number of initial analyses (13 of 130, 10%) resulted in positive breath alcohol concentrations, while 41 samples (31.5%) resulted in a status code. These status codes were caused by ethanol vapors either in the room air or their inhalation by the subject, thereby causing a mouth alcohol effect. Replicate subject samples did not yield any consecutive positive numeric results. As ABHS application can cause a transitory mouth alcohol effect via inhalation of ABHS vapors, EBT operators should forego the use of ABHS in the 15 min preceding subject testing.",Journal of Forensic Sciences,2017,,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}]"
7241,"6 of The Biggest Misconceptions About Happiness, According to Science","A $75,000 yearly salary is the point at which happiness begins to plateau.",https://www.sciencealert.com/6-of-the-biggest-misconceptions-about-happiness-according-to-science,Humans,20-Oct-17,True,https://www.tandfonline.com/doi/abs/10.1080/10615800701195405?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,"Forgiving the September 11th terrorists: Associations with coping, psychological distress, and religiosity","Galena Kline Rhoades, Daniel N. McIntosh, Martha E. Wadsworth, Jarl A. Ahlkvist, Rebecca A. Burwell, Gretchen R. Gudmundsen,Tali Raviv & Jacqueline G. Rea","Two studies examined how non-interpersonal forgiveness (when there is no social relationship between the transgressor and forgiver) related to coping and involuntary responses to stress, psychological distress, and religiosity. Three to six weeks after September 11th, 2001, forgiveness had non-linear associations with other responses to the terrorist attacks. Among college students (N=488), those who were trying or had forgiven (pro-forgiveness) the terrorists reported less involuntary engagement, more primary and secondary control coping, and more meaning finding than those who were unsure about forgiveness (ambivalent) and those who did not believe the perpetrators should be forgiven (anti-forgiveness). Ambivalent students reported the most distress, even after controlling for religion. Anti-forgiveness students reported less religiosity than ambivalent and pro-forgiveness students. Most findings were consistent among middle schoolers (N=154), particularly regarding psychological distress and responses to stress. Also, forgiveness of strangers for acts against one's community functioned separately from religion.","Anxiety, Stress, & Coping",2007,,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}, {6: 1}]"
