id,title,claim,url,domain,news_date,true/false,published_paper_urls,published_paper_title,published_paper_authors,published_paper_abstract,published_paper_venue,published_paper_year,selected_sentence_list
363,"Arctic ice is not 'making a comeback', longer-term trends show","Arctic ice is 'making a comeback', longer-term trends show.",https://www.reuters.com/news/article/factcheck-climate-change-arctic/fact-check-arctic-ice-is-not-making-a-comeback-longer-term-trends-show-idUSL2N2XJ0LJ,Environment,27-May-22,False,https://rmets.onlinelibrary.wiley.com/doi/10.1002/wea.3381,How is sea ice in the Arctic and Antarctic changing?,"Dan Jones, Emily Shuckburgh, Ed Hawkins","Sea ice is the frozen portion of the polar oceans1, covering roughly 3 to 6% of the Earth's surface area at any given time (Comiso, 2010). The Earth hosts major sea ice systems at both poles: one in the Arctic Ocean and another in the Southern Ocean around Antarctica, which is referred to here simply as Antarctic sea ice. Ice forms in the local autumn/winter and melts in local spring/summer, driven by exchanges of heat between the sea ice, ocean, and atmosphere. Sea ice is typically bright - snow-covered ice can reflect away more than 80% of incoming solar radiation. As sea ice melts, it exposes the darker (less reflective) water beneath it, and the planet's surface becomes darker and warmer overall. By this mechanism, changes in sea ice can amplify changes in the climate system (e.g. warming leads to melt, exposing darker surfaces, which leads to additional absorption of incoming sunlight and therefore more melt). In addition to its direct relevance for climate, sea ice has a large impact on ocean biology and serves as a home and/or hunting ground for some large animals, such as polar bears in the Arctic Ocean and emperor penguins around Antarctica.",Weather,2018,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}, {6: 1}, {7: 1}]"
1130,Comparisons of glacier counts are not a reliable indicator of climate change,Comparisons of glacier counts are a reliable indicator of climate change,https://www.reuters.com/news/article/factcheck-climate-change/fact-check-comparisons-of-glacier-counts-are-not-a-reliable-indicator-of-climate-change-idUSL1N2RV20T,Environment,4-Nov-21,False,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019EF001470,Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change,"Ben Marzeion, Regine Hock, Brian Anderson, Andrew Bliss, Nicolas Champollion, Koji Fujita, Matthias Huss, Walter W. Immerzeel, Philip Kraaijenbrink, Jan-Hendrik Malles, Fabien Maussion, Valentina Radi?, David R. Rounce, Akiko Sakai, Sarah Shannon, Roderik van de Wal, Harry Zekollari","Glacier mass loss is recognized as a major contributor to current sea level rise. However, large uncertainties remain in projections of glacier mass loss on global and regional scales. We present an ensemble of 288 glacier mass and area change projections for the 21st century based on 11 glacier models using up to 10 general circulation models and four Representative Concentration Pathways (RCPs) as boundary conditions. We partition the total uncertainty into the individual contributions caused by glacier models, general circulation models, RCPs, and natural variability. We find that emission scenario uncertainty is growing throughout the 21st century and is the largest source of uncertainty by 2100. The relative importance of glacier model uncertainty decreases over time, but it is the greatest source of uncertainty until the middle of this century. The projection uncertainty associated with natural variability is small on the global scale but can be large on regional scales. The projected global mass loss by 2100 relative to 2015 (79 ± 56 mm sea level equivalent for RCP2.6, 159 ± 86 mm sea level equivalent for RCP8.5) is lower than, but well within, the uncertainty range of previous projections.",Earth's Future,2020,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}, {6: 1}, {7: 1}]"
7205,Scientists Just Found a Serious Flaw in Ocean Temperature Calculations,"Flaws in past ocean temperature estimates suggest ancient seas were cooler than believed, making the current global warming trend more extraordinary.",https://www.sciencealert.com/ancient-ocean-temperatures-cooler-than-predicted,Environment,27-Oct-17,True,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2001GL012943,"Heat transport, deep waters, and thermal gradients: Coupled simulation of an Eocene greenhouse climate","Matthew Huber, Lisa Cirbus Sloan","For the first time, a coupled general circulation model with interactive and dynamical atmospheric, oceanic, and sea-ice components, is used to simulate an Eocene (?50 Ma) greenhouse climate. We introduce efficient ocean spin-up methods for coupled paleoclimate modeling. Sea surface temperatures (SSTs) and salinities evolve unconstrained, producing the first proxy data-independent estimates for these Eocene climate parameters. Tropical and extratropical model-predicted SSTs are warmer than modern values, by 3 and 5°C, respectively. Salinity-driven deep water formation occurs in the North Atlantic and Tethys. The zonal average overturning circulation is weaker than modern. Eocene ocean heat transport is 0.6 PW less than modern in the Northern Hemisphere and 0.4 PW greater in the Southern Hemisphere. The model-predicted near-modern vertical and meridional Eocene temperature gradients imply that the dominant theory for maintaining low gradientsincreased ocean heat transportis incorrect or incomplete and other mechanisms should be explored.",Geophysical Research Letters,2001,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 0}, {5: 0}, {6: 1}, {7: 1}]"
7206,Earth's Sloshing Molten Core Could Give Us Earthquake Warnings 5 Years Ahead,Earth's sloshing molten core could give us earthquake warnings 5 years ahead.,https://www.sciencealert.com/earth-iron-core-sloshing-could-predict-earthquakes-five-years-ahead,Environment,31-Oct-17,True,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017GL074934,Do weak global stresses synchronize earthquakes?,"R. Bendick, R. Bilham","Insofar as slip in an earthquake is related to the strain accumulated near a fault since a previous earthquake, and this process repeats many times, the earthquake cycle approximates an autonomous oscillator. Its asymmetric slow accumulation of strain and rapid release is quite unlike the harmonic motion of a pendulum and need not be time predictable, but still resembles a class of repeating systems known as integrate-and-fire oscillators, whose behavior has been shown to demonstrate a remarkable ability to synchronize to either external or self-organized forcing. Given sufficient time and even very weak physical coupling, the phases of sets of such oscillators, with similar though not necessarily identical period, approach each other. Topological and time series analyses presented here demonstrate that earthquakes worldwide show evidence of such synchronization. Though numerous studies demonstrate that the composite temporal distribution of major earthquakes in the instrumental record is indistinguishable from random, the additional consideration of event renewal interval serves to identify earthquake groupings suggestive of synchronization that are absent in synthetic catalogs. We envisage the weak forces responsible for clustering originate from lithospheric strain induced by seismicity itself, by finite strains over teleseismic distances, or by other sources of lithospheric loading such as Earth's variable rotation. For example, quasi-periodic maxima in rotational deceleration are accompanied by increased global seismicity at multidecadal intervals.",Geophysical Research Letters,2017,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}, {6: 1}]"
7208,Strange But True: Cargo Ships Are Triggering More Lightning Storms at Sea,Cargo ships are triggering more lightning storms at sea.,https://www.sciencealert.com/cargo-ships-are-triggering-more-lightning-storms-at-sea,Environment,20-Sep-17,True,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2017GL074982,Lightning enhancement over major oceanic shipping lanes,"Joel A. Thornton, Katrina S. Virts, Robert H. Holzworth, Todd P. Mitchell","Using 12 years of high-resolution global lightning stroke data from the World Wide Lightning Location Network (WWLLN), we show that lightning density is enhanced by up to a factor of 2 directly over shipping lanes in the northeastern Indian Ocean and the South China Sea as compared to adjacent areas with similar climatological characteristics. The lightning enhancement is most prominent during the convectively active season, November-April for the Indian Ocean and April-December in the South China Sea, and has been detectable from at least 2005 to the present. We hypothesize that emissions of aerosol particles and precursors by maritime vessel traffic lead to a microphysical enhancement of convection and storm electrification in the region of the shipping lanes. These persistent localized anthropogenic perturbations to otherwise clean regions are a unique opportunity to more thoroughly understand the sensitivity of maritime deep convection and lightning to aerosol particles.",Geophysical Research Letters,2017,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}]"
7238,Dingoes May Have Actually Migrated to Australia Twice,Dingoes migrated to Australia twice.,https://www.sciencealert.com/dingoes-might-actually-be-two-populations-not-one,Environment,2-Nov-17,True,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.3487,"Conservation implications for dingoes from the maternal and paternal genome: Multiple populations, dog introgression, and demography","Kylie M. Cairns, Sarah K. Brown, Benjamin N. Sacks, J. William O. Ballard","It is increasingly common for apex predators to face a multitude of complex conservation issues. In Australia, dingoes are the mainland apex predator and play an important role in ecological functioning. Currently, however, they are threatened by hybridization with modern domestic dogs in the wild. As a consequence, we explore how increasing our understanding of the evolutionary history of dingoes can inform management and conservation decisions. Previous research on whole mitochondrial genome and nuclear data from five geographical populations showed evidence of two distinct lineages of dingo. Here, we present data from a broader survey of dingoes around Australia using both mitochondrial and Y chromosome markers and investigate the timing of demographic expansions. Biogeographic data corroborate the presence of at least two geographically subdivided genetic populations, southeastern and northwestern. Demographic modeling suggests that dingoes have undergone population expansion in the last 5,000 years. It is not clear whether this stems from expansion into vacant niches after the extinction of thylacines on the mainland or indicates the arrival date of dingoes. Male dispersal is much more common than female, evidenced by more diffuse Y haplogroup distributions. There is also evidence of likely historical male biased introgression from domestic dogs into dingoes, predominately within southeastern Australia. These findings have critical practical implications for the management and conservation of dingoes in Australia; particularly a focus must be placed upon the threatened southeastern dingo population.",Ecology and Evolution,2017,"[{0: 0}, {1: 0}, {2: 0}, {3: 0}, {4: 1}, {5: 1}, {6: 1}, {7: 1}, {8: 1}, {9: 0}, {10: 0}, {11: 1}]"
7245,"99% of Ocean Plastic Waste Is Invisible, But This Method Could Help Find It",A method to detect 99% of ocean plastic waste has been proposed.,https://www.sciencealert.com/missing-99-percent-ocean-microplastic-detection-method,Environment,24-Nov-17,True,https://pubs.acs.org/doi/10.1021/acs.est.7b04512,"Lost, but Found with Nile Red: A Novel Method for Detecting and Quantifying Small Microplastics (1 mm to 20 ?m) in Environmental Samples","Gabriel Erni-Cassola, Matthew I. Gibson, Richard C. Thompson, and Joseph A. Christie-Oleza","Marine plastic debris is a global environmental problem. Surveys have shown that <5 mm plastic particles, known as microplastics, are significantly more abundant in surface seawater and on shorelines than larger plastic particles are. Nevertheless, quantification of microplastics in the environment is hampered by a lack of adequate high-throughput methods for distinguishing and quantifying smaller size fractions (<1 mm), and this has probably resulted in an underestimation of actual microplastic concentrations. Here we present a protocol that allows high-throughput detection and automated quantification of small microplastic particles (20-1000 ?m) using the dye Nile red, fluorescence microscopy, and image analysis software. This protocol has proven to be highly effective in the quantification of small polyethylene, polypropylene, polystyrene, and nylon-6 particles, which frequently occur in the water column. Our preliminary results from sea surface tows show a power-law increase in small microplastics (i.e., <1 mm) with a decreasing particle size. Hence, our data help to resolve speculation about the apparent loss of this fraction from surface waters. We consider that this method presents a step change in the ability to detect small microplastics by substituting the subjectivity of human visual sorting with a sensitive and semiautomated procedure.",Environmental Science & Technology,2017,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}, {6: 1}, {7: 1}]"
7246,"Marine Ecosystems Can Survive The Worst Mass Extinction Events, Study Shows",Marine ecosystems can survive mass extinction events.,https://www.sciencealert.com/marine-ecosystems-cling-on-to-life-through-some-of-the-worst-mass-extinction-events,Environment,23-Oct-17,True,https://onlinelibrary.wiley.com/doi/full/10.1111/pala.12332,Impact of the Late Triassic mass extinction on functional diversity and composition of marine ecosystems,"Alexander M. Dunhill, William J. Foster, James Sciberras, Richard J. Twitchett","Mass extinctions have profoundly influenced the history of life, not only through the death of species but also through changes in ecosystem function and structure. Importantly, these events allow us the opportunity to study ecological dynamics under levels of environmental stress for which there are no recent analogues. Here, we examine the impact and selectivity of the Late Triassic mass extinction event on the functional diversity and functional composition of the global marine ecosystem, and test whether post-extinction communities in the Early Jurassic represent a regime shift away from pre-extinction communities in the Late Triassic. Our analyses show that, despite severe taxonomic losses, there is no unequivocal loss of global functional diversity associated with the extinction. Even though no functional groups were lost, the extinction event was, however, highly selective against some modes of life, in particular sessile suspension feeders. Although taxa with heavily calcified skeletons suffered higher extinction than other taxa, lightly calcified taxa also appear to have been selected against. The extinction appears to have invigorated the already ongoing faunal turnover associated with the Mesozoic Marine Revolution. The ecological effects of the Late Triassic mass extinction were preferentially felt in the tropical latitudes, especially amongst reefs, and it took until the Middle Jurassic for reef ecosystems to fully recover to pre-extinction levels.",Palaeontology,2017,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}, {6: 1}, {7: 1}]"
367,Mass bleaching events in the Great Barrier Reef kill coral and risk the future of the reef,Mass bleaching events in the Great Barrier Reef kill coral and risk the future of the reef.,https://www.reuters.com/news/article/factcheck-environment-oceans/fact-check-mass-bleaching-events-in-the-great-barrier-reef-kill-coral-and-risk-the-future-of-the-reef-idUSL2N2XI1NV,Nature,26-May-22,True,https://doi.org/10.1016/j.cub.2021.10.046,Emergent properties in the responses of tropical corals to recurrent climate extremes,"Terry P. Hughes, James T. Kerry, Sean R. Connolly, Jorge G. Álvarez-Romero, C. Mark Eakin, Scott F. Heron, Migdonio A. Gonzalez, Joanne Moneghetti","The frequency, intensity, and spatial scale of climate extremes are changing rapidly due to anthropogenic global warming.1,2 A growing research challenge is to understand how multiple climate-driven disturbances interact with each other over multi-decadal time frames, generating combined effects that cannot be predicted from single events alone.3, 4, 5 Here we examine the emergent dynamics of five coral bleaching events along the 2,300 km length of the Great Barrier Reef that affected >98% of the Reef between 1998 and 2020. We show that the bleaching responses of corals to a given level of heat exposure differed in each event and were strongly influenced by contingency and the spatial overlap and strength of interactions between events. Naive regions that escaped bleaching for a decade or longer were the most susceptible to bouts of heat exposure. Conversely, when pairs of successive bleaching episodes were close together (1-3 years apart), the thermal threshold for severe bleaching increased because the earlier event hardened regions of the Great Barrier Reef to further impacts. In the near future, the biological responses to recurrent bleaching events may become stronger as the cumulative geographic footprint expands further, potentially impairing the stock-recruitment relationships among lightly and severely bleached reefs with diverse recent histories. Understanding the emergent properties and collective dynamics of recurrent disturbances will be critical for predicting spatial refuges and cumulative ecological responses, and for managing the longer-term impacts of anthropogenic climate change on ecosystems.",Current Biology,2021,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}]"
1133,Statue of Liberty photos do not prove sea level rise is a myth,Photos of the Statue of Liberty from 1898 and 2017 show that sea levels have not risen significantly.,https://www.reuters.com/news/article/factcheck-statue-of-liberty-sea-level/fact-check-statue-of-liberty-photos-do-not-prove-sea-level-rise-is-a-myth-idUSL1N2RV1SK,Nature,4-Nov-21,False,https://link.springer.com/chapter/10.1007/978-3-319-53742-9_13,Coping with Higher Sea Levels and Increased Coastal Flooding in New York City,"Vivien Gornitz, Radley Horton, Daniel A. Bader, Philip Orton & Cynthia Rosenzweig","The 837 km New York City shoreline is lined by significant economic assets and dense population vulnerable to sea level rise and coastal flooding. After Hurricane Sandy in 2012, New York City developed a comprehensive plan to mitigate future climate risks, drawing upon the scientific expertise of the New York City Panel on Climate Change (NPCC), a special advisory group comprised of university and private-sector experts. This paper highlights current NPCC findings regarding sea level rise and coastal flooding, with some of the City's ongoing and planned responses. Twentieth century sea level rise in New York City (2.8 cm/decade) exceeded the global average (1.7 cm/decade), underscoring the enhanced regional risk to coastal hazards. NPCC (2015) projects future sea level rise at the Battery of 28-53 cm by the 2050s and 46-99 cm by the 2080s, relative to 2000-2004 (mid-range, 25th-75th percentile). High-end SLR estimates (90th percentile) reach 76 cm by the 2050s, and 1.9 m by 2100. Combining these projections with updated FEMA flood return period curves, assuming static flood dynamics and storm behavior, flood heights for the 100-year storm (excluding waves) attain 3.9-4.5 m (mid-range), relative to the NAVD88 tidal datum, and 4.9 m (high end) by the 2080s, up from 3.4 m in the 2000s. Flood heights with a 1% annual chance of occurrence in the 2000s increase to 2.0-5.4% (mid-range) and 12.7% per year (high-end), by the 2080s. Guided by NPCC (2013, 2015) findings, New York City has embarked on a suite of initiatives to strengthen coastal defenses, employing various approaches tailored to specific neighborhood needs. NPCC continues its collaboration with the city to investigate vulnerability to extreme climate events, including heat waves, inland floods and coastal storms. Current research entails higher-resolution neighborhood-level coastal flood mapping, changes in storm characteristics, surge height interactions with sea level rise, and stronger engagement with stakeholders and community-based organizations.",Climate Change Adaptation in North America,2017,"[{0: 1}, {1: 1}, {2: 1}, {3: 1}, {4: 1}, {5: 1}, {6: 1}, {7: 1}, {8: 1}, {9: 1}, {10: 1}]"
